Frequency;Cores;CacheSize;P_orig;P;P_dyn_orig;P_dyn;P_dyn_rest;P_dyn_mem_orig;P_dyn_mem;P_dyn_arm_orig;P_dyn_arm;P_idle;P_idle_kfc;P_idle_arm;rps_orig;rps;IPC_orig;IPC;memory_heaviness_orig;memory_heaviness;IPR_orig;IPR;measured_P;measured_rps;delta_rps_rel_orig;delta_P_rel_orig;delta_rps_orig;delta_P_orig;delta_rps_rel;delta_P_rel;delta_rps;delta_P
200;1;32;3.9943968501560447;3.992031326871202;0.16374389659788421;0.16137837331304117;0.08458977340481666;0.010763027923424186;0.010637667779911826;0.06839109526964338;0.06615093212831269;3.8306529535581606;0.013350799503448882;0.07175512122785198;4950.939281944631;4962.655421638921;0.8025624098795038;0.8035551110257039;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.019137861994686;4285.708959260702;-0.13436446799295831;0.006155800743386895;-665.2303226839294;0.024741011838641302;-0.15795437086679703;0.006744365596364777;-676.9464623782196;0.027106535123484043
300;1;32;4.1010040318369985;4.099160330398834;0.2761695016325949;0.2743258001944299;0.11309385931013141;0.0138553195570583;0.013736028292863502;0.1492203227654052;0.14749591259143502;3.824834530204404;0.014813362109801952;0.06447413526774234;7025.6687468352875;7042.790866206093;0.759254937211367;0.7602476383575671;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.139663817818562;6215.7114381660085;-0.115285439415874;0.009338870904240616;-809.957308669279;0.03865978598156339;-0.13306271313716586;0.009784245581823984;-827.0794280400842;0.04050348741972787
400;1;32;4.202153590317877;4.200812510080785;0.37829571630367687;0.37695463606658425;0.13974025691899689;0.01655632456930304;0.016442878877560137;0.22199913481537692;0.22077150027002723;3.8238578740142004;0.01749535448626707;0.06081548670107363;8852.89862318029;8875.147508567747;0.7175409804912624;0.7185336816374625;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.2539831249364575;8065.952076102498;-0.0888913993680289;0.012183765919229966;-786.9465470777923;0.0518295346185802;-0.10032237048155826;0.01249901875350457;-809.1954324652488;0.05317061485567276
500;1;32;4.300265996964495;4.299408337282872;0.47254301197694537;0.4716853522953227;0.16452896623141314;0.018894193465362787;0.018786370039206197;0.28911985228016945;0.28837001602470336;3.82772298498755;0.021396776632844235;0.060779175527845855;10447.374307611217;10474.487380195891;0.6774205397191895;0.6784132408653897;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.355626483996919;9718.042132969475;-0.06981009325093317;0.012710108921374337;-729.3321746417423;0.05536048703242358;-0.07783926400772609;0.012907017376397772;-756.4452472264165;0.05621814671404657
600;1;32;4.397669258652928;4.397275818881171;0.5612393955284756;0.5608459557567189;0.18745998724738006;0.020896001372258853;0.020793576904822968;0.3528834069088367;0.35259239160451594;3.8364298631244522;0.026517628549533448;0.064365201748059;11823.841196759662;11855.57251256253;0.6388936148951487;0.6398863160413488;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.442992111166738;11322.60986535866;-0.0423915818100099;0.010200975239163418;-501.23133140100254;0.0453228525138103;-0.047070653633881826;0.01028952812467672;-532.9626472038708;0.04571629228556695
700;1;32;4.4965989177695125;4.496650497262017;0.6466204093446053;0.6466719888371091;0.20853331996689772;0.02258774803882945;0.022490499223248632;0.4154993413388781;0.4156481696469627;3.8499785084249076;0.03285791023633471;0.07157356536171307;12997.04468725721;13033.164937139672;0.6019602060191398;0.6029529071653399;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.523101659957983;12501.66296284683;-0.03811495123164962;0.005859417758193098;-495.3817244103793;0.026502742188470485;-0.04251450194045305;0.005848014191264392;-531.5019742928416;0.026451162695965813
800;1;32;4.599198052210842;4.599675450322003;0.7308291313219262;0.7313065294330869;0.2277489643899661;0.02399435783572964;0.023902061365138304;0.47908580909623044;0.4796555036779826;3.868368920888916;0.040417621693248015;0.08240426636880807;13981.730175735442;14022.026685399325;0.5666203130911628;0.567613014237363;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.656974295162913;13835.336586936757;-0.010470348587669277;0.012406390778682481;-146.3935887986845;0.05777624295207051;-0.013493715695998304;0.01230387827143999;-186.69009846256813;0.057298844840909524
900;1;32;4.707517275383768;4.708401291467983;0.8159161748672913;0.8168001909515061;0.24510692051658522;0.02513967975543136;0.025052112322963872;0.5456695745952747;0.546641158111957;3.891601100516477;0.049196762920273376;0.09685730476934401;14792.64305882595;14836.919788813491;0.5328739361112178;0.5338666372574179;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.7849491767113275;14850.866470239998;0.003935970818907148;0.016182387412686718;58.223411414048314;0.07743190132755906;9.391156707559838e-4;0.01599763809737162;13.946681426506984;0.0765478852433441
1e3;1;32;4.823514736205409;4.824786169617072;0.9038396888978173;0.9051111223094805;0.26060718834675517;0.02604648741222345;0.025963425711014197;0.6171860131388387;0.6185405082517113;3.9196750473075914;0.059195333917410775;0.11493268056332087;15444.528733160316;15492.606278854188;0.5007210750793047;0.501713776225505;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;4.921084978003544;15803.098837519412;0.023216642641172014;0.019826977634862776;358.57010435909615;0.09757024179813545;0.01964757430536718;0.01956861318528588;310.49255866522435;0.09629880838647242
1100;1;32;4.949056119103133;4.95069576919664;0.9964653578408745;0.9981050079343816;0.2742497678804757;0.026736479042211596;0.026657699765394997;0.6954791109181873;0.6971975402885109;3.952590761262259;0.07041333468466024;0.13663039375073865;15952.132595370134;16003.848186993406;0.4701617299954237;0.4711544311416238;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;5.06734824438101;16272.794619078388;0.020101514439600426;0.02334398971080111;320.6620237082534;0.11829212527787636;0.01652736597373794;0.02302041808824189;268.946432084982;0.11665247518436939
